iso,year,animal_em,drought_em,earthquake_em,epidemic_em,extremetemp_em,flood_em,fog_em,impact_em,insect_em,landslide_em,massmove_em,storm_em,volcano_em,wildfire_em,totaldeaths,totaldisasters,totaldamage
TUV,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1972,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0
TUV,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1984,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TUV,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1987,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TUV,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1990,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TUV,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TUV,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TUV,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TUV,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1906,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7300,2,0
TWN,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1911,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,20000
TWN,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
